Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Namur,5070,Exceptional_Property,699000,4.0,222.0,7973.0,3.0,As new,0,1,0,0.0,1,100.0,0,0,Namur,House,Wallonia
Antwerp,2850,House,229000,3.0,128.0,280.0,2.0,To renovate,0,0,1,119.0,0,0.0,0,0,Antwerp,House,Flanders
Antwerp,2020,Apartment_Block,259000,2.0,101.0,80.0,,To be done up,0,1,1,15.0,0,0.0,0,0,Antwerp,Other,Flanders
Mechelen,2580,House,265000,3.0,164.0,621.0,,To be done up,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Kortrijk,8500,Villa,419500,3.0,186.0,772.0,,To be done up,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8510,House,420000,4.0,335.0,910.0,,To renovate,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9850,House,685000,3.0,227.0,17251.0,,Good,0,0,0,0.0,0,0.0,0,1,Oost-Vlaanderen,House,Flanders
Mechelen,2580,House,690000,3.0,267.0,1738.0,,Good,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Brussels,1200,Villa,750000,4.0,180.0,430.0,4.0,To renovate,0,0,1,200.0,1,15.0,0,0,Brussels,House,Brussels
Kortrijk,8500,Villa,1595000,5.0,838.0,2342.0,,As new,0,1,0,0.0,0,0.0,0,1,West-Vlaanderen,House,Flanders
Liège,4680,House,119000,2.0,97.0,135.0,4.0,To renovate,0,0,1,40.0,0,0.0,0,0,Liège,House,Wallonia
Liège,4100,House,165000,2.0,100.0,85.0,3.0,Good,0,1,1,30.0,1,19.0,0,0,Liège,House,Wallonia
Liège,4020,House,139000,3.0,,50.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Arlon,6780,House,199000,3.0,213.0,435.0,2.0,To renovate,0,0,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Oostend,8400,House,220000,4.0,255.0,145.0,2.0,Good,0,1,1,40.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Leuven,3300,House,229000,3.0,120.0,90.0,3.0,Good,0,0,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Arlon,6790,House,360000,2.0,152.0,269.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Dendermonde,9270,Apartment_Block,398000,4.0,259.0,159.0,2.0,Not mentioned,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,Other,Flanders
Halle-Vilvoorde,1831,House,499000,5.0,219.0,345.0,2.0,Not mentioned,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Antwerp,2970,House,565000,3.0,154.0,416.0,3.0,As new,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Halle-Vilvoorde,1650,House,615000,3.0,240.0,3412.0,4.0,To be done up,0,0,1,3286.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Arlon,6700,House,1150000,4.0,411.0,2001.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Antwerp,2000,Mansion,1190000,4.0,430.0,140.0,2.0,Not mentioned,0,1,0,0.0,1,60.0,0,0,Antwerp,House,Flanders
Tielt,8780,House,417000,3.0,163.0,849.0,,Just renovated,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Leuven,3384,Country_Cottage,575000,3.0,155.0,8753.0,4.0,To renovate,0,0,1,384.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Turnhout,2235,House,599000,5.0,347.0,1982.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Halle-Vilvoorde,1933,House,695000,4.0,238.0,196.0,2.0,Not mentioned,0,0,1,59.0,1,20.0,0,0,Vlaams-Brabant,House,Flanders
Dendermonde,9220,House,235000,3.0,134.0,778.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Oostend,8470,House,350000,3.0,240.0,1280.0,4.0,To renovate,0,0,1,775.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Mechelen,2800,House,495000,3.0,132.0,1193.0,,Not mentioned,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Virton,6723,House,245000,3.0,131.0,351.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Antwerp,2018,Apartment_Block,749990,4.0,292.0,73.0,3.0,To be done up,0,0,0,0.0,0,0.0,0,0,Antwerp,Other,Flanders
Brussels,1190,Mansion,1320000,6.0,460.0,320.0,2.0,As new,0,1,1,120.0,1,40.0,0,0,Brussels,House,Brussels
Antwerp,2100,House,424000,3.0,150.0,155.0,2.0,Good,0,1,1,55.0,1,15.0,0,0,Antwerp,House,Flanders
Antwerp,2970,House,585000,3.0,241.0,750.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Virton,6769,House,169000,2.0,126.0,1040.0,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Brugge,8310,Villa,245000,3.0,,301.0,,To renovate,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8930,House,399000,4.0,597.0,198.0,4.0,Good,0,1,1,264.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9041,House,399000,3.0,136.0,180.0,3.0,Good,0,1,1,180.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Aalst,9506,Bungalow,425000,2.0,372.0,898.0,4.0,Good,0,1,1,595.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Halle-Vilvoorde,1570,House,495000,4.0,384.0,843.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Kortrijk,8551,Villa,775000,5.0,372.0,1500.0,4.0,Just renovated,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9840,Villa,1095000,3.0,201.0,2595.0,4.0,To renovate,0,0,1,2300.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Ieper,8972,House,199000,3.0,235.0,473.0,,To renovate,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Roeselare,8870,House,350000,3.0,162.0,499.0,,Just renovated,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Virton,6730,House,430000,5.0,175.0,1074.0,4.0,Good,1,0,0,0.0,1,30.0,0,0,Luxembourg,House,Wallonia
Halle-Vilvoorde,1547,House,599000,4.0,269.0,1273.0,4.0,As new,0,1,1,900.0,1,66.0,0,0,Vlaams-Brabant,House,Flanders
Halle-Vilvoorde,1702,Apartment_Block,750000,4.0,300.0,455.0,2.0,Not mentioned,0,0,0,0.0,1,26.0,0,0,Vlaams-Brabant,Other,Flanders
Halle-Vilvoorde,1700,Apartment_Block,1050000,4.0,300.0,797.0,2.0,Not mentioned,0,0,0,0.0,1,26.0,0,0,Vlaams-Brabant,Other,Flanders
Liège,4121,House,595000,5.0,249.0,1700.0,4.0,Good,0,1,1,1546.0,1,30.0,0,0,Liège,House,Wallonia
Liège,4040,House,289000,5.0,243.0,423.0,2.0,To renovate,0,0,1,220.0,1,11.0,0,0,Liège,House,Wallonia
Oudenaarde,9700,House,335000,3.0,112.0,249.0,2.0,Just renovated,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Liège,4040,House,299000,4.0,205.0,587.0,3.0,Good,0,1,1,220.0,1,91.0,0,1,Liège,House,Wallonia
Huy,4540,House,159000,2.0,80.0,32.0,3.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Kortrijk,8790,House,185000,2.0,150.0,353.0,3.0,To renovate,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9000,House,429000,3.0,125.0,128.0,2.0,Good,0,1,1,20.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Roeselare,8830,House,462300,3.0,149.0,420.0,,Good,0,0,0,0.0,0,0.0,1,0,West-Vlaanderen,House,Flanders
Oudenaarde,9680,Villa,1545000,4.0,433.0,8633.0,4.0,Just renovated,1,0,0,0.0,0,0.0,1,0,Oost-Vlaanderen,House,Flanders
Liège,4101,House,129900,5.0,140.0,53.0,2.0,To be done up,0,1,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Oudenaarde,9600,House,180000,4.0,150.0,120.0,,Good,0,1,0,0.0,1,46.0,0,0,Oost-Vlaanderen,House,Flanders
Liège,4020,House,249000,3.0,130.0,97.0,2.0,As new,0,1,0,0.0,1,33.0,0,0,Liège,House,Wallonia
Liège,4040,House,249000,4.0,156.0,235.0,3.0,Good,0,1,1,94.0,1,23.0,0,0,Liège,House,Wallonia
Liège,4680,House,299000,6.0,309.0,600.0,2.0,Good,1,1,1,320.0,1,26.0,0,0,Liège,House,Wallonia
Liège,4100,House,310000,3.0,144.0,300.0,3.0,Good,0,1,1,102.0,1,27.0,0,0,Liège,House,Wallonia
Liège,4101,House,360000,5.0,217.0,334.0,2.0,Good,0,1,1,134.0,1,80.0,0,1,Liège,House,Wallonia
Huy,4590,House,399000,4.0,170.0,1294.0,4.0,Good,0,1,1,850.0,1,100.0,1,0,Liège,House,Wallonia
Nivelles,1390,House,490000,4.0,247.0,1720.0,4.0,Good,0,1,1,900.0,1,25.0,0,0,Brabant Wallon,House,Wallonia
Nivelles,1410,House,495000,2.0,140.0,452.0,4.0,To renovate,0,0,1,190.0,1,20.0,0,0,Brabant Wallon,House,Wallonia
Brussels,1180,House,550000,4.0,211.0,136.0,2.0,To renovate,0,0,1,60.0,1,12.0,0,0,Brussels,House,Brussels
Brussels,1050,Mixed_Use_Building,1145000,3.0,317.0,114.0,2.0,Just renovated,0,1,0,0.0,0,0.0,1,0,Brussels,Other,Brussels
Brussels,1060,Mixed_Use_Building,1145000,3.0,317.0,114.0,2.0,Just renovated,0,1,0,0.0,0,0.0,1,0,Brussels,Other,Brussels
Liège,4040,House,169000,4.0,180.0,161.0,2.0,To renovate,1,0,1,70.0,1,22.0,0,0,Liège,House,Wallonia
Liège,4101,House,230000,3.0,140.0,520.0,3.0,As new,0,1,1,150.0,1,120.0,0,0,Liège,House,Wallonia
Halle-Vilvoorde,1820,House,529000,2.0,168.0,790.0,4.0,To be done up,0,0,1,450.0,1,24.0,0,0,Vlaams-Brabant,House,Flanders
Charleroi,6040,House,139000,3.0,104.0,,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Aalst,9500,House,145000,2.0,80.0,30.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Aalst,9550,House,189000,2.0,205.0,133.0,3.0,Good,0,0,0,0.0,1,76.0,1,0,Oost-Vlaanderen,House,Flanders
Sint-Niklaas,9100,House,269000,3.0,133.0,140.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Halle-Vilvoorde,1653,House,399000,4.0,128.0,254.0,3.0,Good,0,0,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Leuven,3012,House,430000,3.0,144.0,104.0,,Not mentioned,0,0,0,0.0,1,12.0,0,0,Vlaams-Brabant,House,Flanders
Nivelles,1450,House,510000,3.0,120.0,1380.0,4.0,Just renovated,0,1,0,0.0,1,46.0,0,0,Brabant Wallon,House,Wallonia
Oostend,8434,House,149500,2.0,42.0,42.0,,To be done up,0,0,0,0.0,0,0.0,1,0,West-Vlaanderen,House,Flanders
Brugge,8310,House,239500,1.0,60.0,80.0,,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9050,House,319000,2.0,52.0,88.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Leuven,3140,House,549000,3.0,202.0,579.0,4.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Roeselare,8800,House,875000,4.0,424.0,816.0,4.0,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9000,Mansion,1095000,6.0,415.0,182.0,2.0,To be done up,0,0,1,57.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9051,House,1350000,4.0,283.0,480.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2660,House,475000,4.0,175.0,246.0,2.0,Good,0,1,1,121.0,1,22.0,0,0,Antwerp,House,Flanders
Nivelles,1300,House,515000,3.0,216.0,1550.0,4.0,To be done up,1,1,1,1100.0,1,67.0,0,0,Brabant Wallon,House,Wallonia
Nivelles,1301,House,515000,3.0,216.0,1550.0,4.0,To be done up,1,1,1,1100.0,1,67.0,0,0,Brabant Wallon,House,Wallonia
Nivelles,1300,Apartment_Block,625000,4.0,173.0,299.0,3.0,Good,0,1,1,200.0,1,30.0,0,0,Brabant Wallon,Other,Wallonia
Nivelles,1300,Apartment_Block,700000,4.0,203.0,290.0,3.0,Good,0,1,1,110.0,1,5.0,0,0,Brabant Wallon,Other,Wallonia
Brugge,8300,Villa,1395000,4.0,276.0,606.0,4.0,Good,0,1,1,323.0,1,323.0,0,0,West-Vlaanderen,House,Flanders
Virton,6747,House,250000,1.0,154.0,1164.0,3.0,To renovate,0,0,1,1010.0,0,0.0,0,0,Luxembourg,House,Wallonia
Arlon,6790,House,290000,3.0,130.0,480.0,4.0,To be done up,0,0,1,380.0,1,10.0,0,0,Luxembourg,House,Wallonia
Virton,6730,Chalet,440000,4.0,315.0,1536.0,3.0,As new,1,0,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Arlon,6700,Chalet,695000,5.0,386.0,1467.0,3.0,Good,1,0,1,1224.0,1,60.0,0,0,Luxembourg,House,Wallonia
Namur,5060,House,194000,3.0,161.0,400.0,3.0,To be done up,0,1,1,264.0,1,56.0,0,0,Namur,House,Wallonia
Gent,9000,House,249000,3.0,121.0,91.0,2.0,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Halle-Vilvoorde,1640,House,379000,3.0,150.0,372.0,3.0,Good,0,1,1,271.0,1,10.0,0,0,Vlaams-Brabant,House,Flanders
Brussels,1190,Apartment_Block,695000,5.0,280.0,110.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Brussels,Other,Brussels
Liège,4683,House,349000,5.0,129.0,384.0,3.0,Good,0,1,1,323.0,0,0.0,0,0,Liège,House,Wallonia
Gent,9185,House,269000,4.0,157.0,628.0,4.0,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Kortrijk,8560,House,279000,9.0,227.0,457.0,,Not mentioned,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Neufchâteau,6860,Villa,295000,3.0,,1191.0,4.0,Just renovated,1,1,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Gent,9000,Mixed_Use_Building,315000,3.0,123.0,,,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,Other,Flanders
Brugge,8000,House,350000,3.0,194.0,367.0,3.0,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Brugge,8200,House,425000,3.0,147.0,137.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Brugge,8200,House,440000,4.0,143.0,686.0,4.0,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Sint-Niklaas,9140,Villa,479000,4.0,172.0,283.0,4.0,As new,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Aalst,9473,House,539000,3.0,234.0,375.0,3.0,As new,0,1,1,190.0,1,20.0,0,0,Oost-Vlaanderen,House,Flanders
Sint-Niklaas,9100,Villa,546950,4.0,170.0,504.0,4.0,As new,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Leuven,3012,House,559500,4.0,294.0,354.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Roeselare,8890,House,645000,5.0,404.0,1577.0,3.0,As new,0,0,0,0.0,0,0.0,0,1,West-Vlaanderen,House,Flanders
Nivelles,1410,Villa,780000,3.0,212.0,610.0,4.0,Just renovated,0,1,1,610.0,0,0.0,0,1,Brabant Wallon,House,Wallonia
Gent,9000,House,785000,4.0,190.0,103.0,2.0,Good,0,1,1,37.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Halle-Vilvoorde,1500,Villa,795000,3.0,286.0,500.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Nivelles,1380,Exceptional_Property,1190000,6.0,418.0,5513.0,4.0,Good,0,1,1,5300.0,1,72.0,0,0,Brabant Wallon,House,Wallonia
Gent,9840,House,1350000,4.0,203.0,655.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Huy,4500,House,129000,3.0,136.0,126.0,2.0,Good,0,0,0,0.0,1,30.0,0,0,Liège,House,Wallonia
Gent,9850,House,219000,2.0,95.0,200.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Mechelen,2223,House,299000,2.0,134.0,3000.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Tournai,7730,Villa,315000,2.0,147.0,624.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Kortrijk,8587,House,365000,3.0,203.0,322.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Liège,4460,House,440000,5.0,249.0,717.0,4.0,Not mentioned,0,1,1,340.0,1,40.0,0,0,Liège,House,Wallonia
Waremme,4360,Villa,520000,3.0,206.0,2000.0,4.0,Not mentioned,0,0,1,1500.0,1,50.0,0,0,Liège,House,Wallonia
Halle-Vilvoorde,1500,House,795000,4.0,357.0,3440.0,,Not mentioned,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Liège,4680,House,279000,3.0,149.0,845.0,3.0,Good,1,1,1,525.0,1,67.0,0,0,Liège,House,Wallonia
Neufchâteau,6800,Exceptional_Property,589000,3.0,280.0,1339.0,4.0,Good,0,1,1,1200.0,1,140.0,0,1,Luxembourg,House,Wallonia
Oostend,8400,House,189000,3.0,130.0,132.0,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8540,Bungalow,225000,3.0,145.0,,,Good,0,0,0,0.0,1,18.0,0,0,West-Vlaanderen,House,Flanders
Verviers,4860,House,290000,5.0,317.0,310.0,3.0,As new,0,1,1,160.0,1,70.0,0,0,Liège,House,Wallonia
Virton,6750,House,295000,3.0,182.0,279.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Arlon,6790,Mixed_Use_Building,299000,3.0,205.0,719.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,Luxembourg,Other,Wallonia
Dendermonde,9230,Villa,498000,4.0,286.0,,4.0,To be done up,1,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Aalst,9340,House,559000,4.0,175.0,571.0,3.0,Good,0,0,1,400.0,1,25.0,0,0,Oost-Vlaanderen,House,Flanders
Virton,6741,House,675000,4.0,220.0,333.0,3.0,Not mentioned,0,1,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Antwerp,2530,House,690000,5.0,320.0,631.0,4.0,To be done up,0,1,1,350.0,0,0.0,0,0,Antwerp,House,Flanders
Huy,4500,House,179000,3.0,105.0,360.0,3.0,Good,0,0,1,148.0,1,24.0,0,0,Liège,House,Wallonia
Eeklo,9060,House,319000,3.0,135.0,115.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Nivelles,1390,House,325000,4.0,133.0,846.0,4.0,Not mentioned,0,1,0,0.0,0,0.0,0,0,Brabant Wallon,House,Wallonia
Mechelen,2860,House,339000,3.0,124.0,142.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Mechelen,2830,House,355000,3.0,170.0,288.0,,Good,0,1,1,150.0,0,0.0,0,0,Antwerp,House,Flanders
Brussels,1050,House,1995000,4.0,544.0,666.0,2.0,As new,1,1,1,250.0,1,90.0,0,0,Brussels,House,Brussels
Sint-Niklaas,9130,House,185000,3.0,127.0,90.0,2.0,Good,0,1,1,31.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9000,House,299000,4.0,155.0,128.0,2.0,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9050,House,299000,4.0,155.0,128.0,2.0,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2070,House,420000,3.0,173.0,391.0,,Good,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Liège,4000,Mansion,485000,5.0,248.0,795.0,4.0,Good,0,1,1,500.0,0,0.0,0,0,Liège,House,Wallonia
Nivelles,1410,House,650000,4.0,335.0,1488.0,3.0,As new,1,1,1,1000.0,1,50.0,0,0,Brabant Wallon,House,Wallonia
Kortrijk,8790,House,875000,4.0,1600.0,2300.0,,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Liège,4020,House,149000,5.0,152.0,76.0,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Liège,4420,House,199000,2.0,106.0,120.0,2.0,Just renovated,0,1,1,40.0,1,15.0,0,0,Liège,House,Wallonia
Liège,4100,House,209000,4.0,123.0,165.0,2.0,As new,0,1,0,0.0,1,54.0,1,0,Liège,House,Wallonia
Liège,4450,House,330000,3.0,125.0,670.0,3.0,Good,0,1,1,563.0,1,53.0,0,0,Liège,House,Wallonia
Dinant,5580,House,429000,3.0,166.0,1220.0,4.0,Just renovated,0,1,1,1220.0,1,15.0,0,0,Namur,House,Wallonia
Brussels,1150,Town_House,685000,4.0,202.0,169.0,2.0,Good,0,1,1,45.0,1,12.0,0,0,Brussels,House,Brussels
Nivelles,1420,Villa,890000,3.0,300.0,1502.0,4.0,Good,0,0,1,1500.0,1,53.0,0,0,Brabant Wallon,House,Wallonia
Brussels,1190,Apartment_Block,1595000,10.0,520.0,165.0,2.0,To renovate,0,0,1,40.0,1,45.0,0,0,Brussels,Other,Brussels
Brugge,8300,House,1595000,4.0,188.0,600.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Brugge,8300,House,1700000,4.0,241.0,813.0,4.0,Good,0,1,0,0.0,0,0.0,1,0,West-Vlaanderen,House,Flanders
Tielt,8760,Mansion,465000,4.0,500.0,1308.0,3.0,To be done up,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Brussels,1040,Apartment_Block,880000,4.0,239.0,239.0,2.0,Good,0,1,0,0.0,1,5.0,1,0,Brussels,Other,Brussels
Kortrijk,8500,House,125000,2.0,66.0,78.0,2.0,Good,0,0,0,0.0,1,40.0,0,0,West-Vlaanderen,House,Flanders
Charleroi,6001,Villa,195000,2.0,110.0,568.0,4.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Charleroi,7170,House,200000,4.0,174.0,190.0,2.0,Good,0,0,1,119.0,1,28.0,0,0,Hainaut,House,Wallonia
Ieper,8900,House,235000,4.0,225.0,984.0,4.0,Not mentioned,0,1,1,680.0,1,37.0,0,0,West-Vlaanderen,House,Flanders
Thuin,7130,House,240000,4.0,205.0,,2.0,Just renovated,0,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Liège,4120,House,249000,3.0,109.0,485.0,3.0,Good,0,0,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Aalst,9500,Bungalow,325000,3.0,163.0,852.0,4.0,To be done up,0,1,1,400.0,1,28.0,0,0,Oost-Vlaanderen,House,Flanders
Nivelles,1400,Villa,350000,4.0,231.0,747.0,4.0,To be done up,0,1,1,573.0,1,80.0,0,1,Brabant Wallon,House,Wallonia
Oudenaarde,9660,House,385000,3.0,300.0,2330.0,4.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Brugge,8200,Villa,579000,4.0,201.0,762.0,4.0,As new,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Sint-Niklaas,9160,Villa,698000,4.0,361.0,1050.0,4.0,As new,1,0,0,0.0,0,0.0,0,1,Oost-Vlaanderen,House,Flanders
Brussels,1000,Mixed_Use_Building,1750000,3.0,400.0,,2.0,As new,0,1,0,0.0,1,27.0,0,0,Brussels,Other,Brussels
Liège,4102,House,59000,1.0,48.0,68.0,2.0,To be done up,0,0,0,0.0,1,22.0,0,0,Liège,House,Wallonia
Mons,7390,House,180000,2.0,216.0,300.0,3.0,To be done up,0,1,1,206.0,0,0.0,0,0,Hainaut,House,Wallonia
Gent,9830,Villa,3500000,6.0,712.0,1043.0,4.0,Not mentioned,1,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Oudenaarde,9700,House,349000,3.0,193.0,259.0,2.0,Good,0,0,0,0.0,1,20.0,0,0,Oost-Vlaanderen,House,Flanders
Liège,4690,House,369000,3.0,150.0,576.0,3.0,Just renovated,0,0,1,253.0,1,141.0,0,0,Liège,House,Wallonia
Soignies,7090,Villa,375000,4.0,168.0,859.0,4.0,Good,0,1,1,859.0,0,0.0,0,0,Hainaut,House,Wallonia
Brussels,1000,Apartment_Block,3300000,12.0,1446.0,710.0,2.0,Good,0,0,1,130.0,0,0.0,0,0,Brussels,Other,Brussels
Antwerp,2050,Exceptional_Property,446000,3.0,121.0,133.0,3.0,As new,0,0,1,60.0,0,0.0,0,0,Antwerp,House,Flanders
Charleroi,6060,House,155000,2.0,100.0,,2.0,Good,1,0,1,42.0,1,18.0,0,0,Hainaut,House,Wallonia
Leuven,3271,House,195000,5.0,129.0,1020.0,3.0,To be done up,1,0,1,770.0,1,15.0,0,0,Vlaams-Brabant,House,Flanders
Liège,4420,House,249000,3.0,124.0,171.0,3.0,Good,0,1,1,20.0,1,35.0,0,0,Liège,House,Wallonia
Liège,4020,Apartment_Block,285000,4.0,167.0,167.0,2.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Liège,Other,Wallonia
Antwerp,2070,House,349000,5.0,160.0,301.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Gent,9000,Apartment_Block,675000,6.0,258.0,136.0,,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,Other,Flanders
Brussels,1180,House,795000,7.0,361.0,200.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Brussels,House,Brussels
Brugge,8200,Villa,849000,4.0,282.0,514.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Dinant,5377,Chalet,79000,1.0,44.0,296.0,4.0,Good,0,0,1,296.0,0,0.0,0,0,Namur,House,Wallonia
Oudenaarde,9600,House,139000,3.0,180.0,130.0,2.0,To renovate,0,0,1,20.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Liège,4102,Town_House,169000,2.0,160.0,121.0,2.0,Good,0,1,1,52.0,1,40.0,0,0,Liège,House,Wallonia
Dinant,5580,House,192500,3.0,173.0,120.0,2.0,To be done up,0,0,1,53.0,0,0.0,0,0,Namur,House,Wallonia
Liège,4101,House,215000,4.0,117.0,104.0,2.0,Good,0,0,1,31.0,1,24.0,0,0,Liège,House,Wallonia
