Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Oudenaarde,9700,House,320000,3.0,142.0,160.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Namur,5070,House,325000,3.0,145.0,2205.0,4.0,Good,1,1,0,0.0,0,0.0,0,0,Namur,House,Wallonia
Arlon,6700,House,325000,3.0,186.0,223.0,3.0,To be done up,0,0,0,0.0,0,0.0,0,0,Luxembourg,House,Wallonia
Aalst,9400,Farmhouse,325000,3.0,320.0,668.0,,Not mentioned,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Leuven,3350,House,328500,5.0,286.0,4793.0,4.0,To renovate,0,0,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Aalst,9620,Mixed_Use_Building,330000,3.0,246.0,170.0,2.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,Other,Flanders
Mechelen,2500,House,335000,3.0,129.0,106.0,2.0,Just renovated,0,1,1,38.0,1,8.0,0,0,Antwerp,House,Flanders
Antwerp,2610,Town_House,335000,2.0,114.0,114.0,2.0,As new,0,0,0,0.0,1,21.0,0,0,Antwerp,House,Flanders
Liège,4000,Apartment_Block,339000,6.0,236.0,750.0,4.0,Good,0,1,1,750.0,0,0.0,0,0,Liège,Other,Wallonia
Liège,4690,House,340000,3.0,245.0,1050.0,4.0,To be done up,1,1,1,900.0,0,0.0,0,0,Liège,House,Wallonia
Mechelen,2870,Villa,344000,4.0,226.0,1096.0,4.0,To renovate,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Kortrijk,8570,House,345000,4.0,225.0,720.0,,To be done up,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Halle-Vilvoorde,1600,House,349000,3.0,139.0,186.0,2.0,Good,0,0,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Liège,4020,Apartment_Block,349000,4.0,221.0,228.0,2.0,To be done up,0,0,0,0.0,0,0.0,0,0,Liège,Other,Wallonia
Liège,4400,House,349000,4.0,206.0,1895.0,3.0,Not mentioned,0,1,1,1570.0,1,40.0,0,0,Liège,House,Wallonia
Neufchâteau,6840,Mixed_Use_Building,350000,3.0,250.0,359.0,3.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Luxembourg,Other,Wallonia
Gent,9050,House,350000,4.0,163.0,68.0,,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2610,House,355000,3.0,175.0,150.0,2.0,To be done up,0,1,1,60.0,1,9.0,0,0,Antwerp,House,Flanders
Veurne,8670,Villa,355000,3.0,115.0,851.0,,To renovate,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Huy,4540,House,359000,3.0,163.0,901.0,,Good,1,1,1,725.0,1,20.0,0,0,Liège,House,Wallonia
Sint-Niklaas,9100,House,359000,3.0,225.0,1004.0,,Just renovated,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Gent,9820,House,372000,2.0,116.0,190.0,2.0,As new,0,1,1,93.0,1,16.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2900,House,374000,1.0,164.0,170.0,2.0,Just renovated,0,1,1,70.0,0,0.0,0,0,Antwerp,House,Flanders
Soignies,7864,House,375000,5.0,279.0,3490.0,4.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Oudenaarde,9690,House,375000,3.0,141.0,1220.0,4.0,Good,0,1,1,810.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Mechelen,2801,House,376000,3.0,150.0,403.0,4.0,To renovate,1,1,1,330.0,0,0.0,0,0,Antwerp,House,Flanders
Halle-Vilvoorde,1540,House,376579,3.0,110.0,90.0,2.0,Good,0,1,1,30.0,1,20.0,0,0,Vlaams-Brabant,House,Flanders
Mechelen,2222,House,378000,4.0,249.0,599.0,3.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Huy,4530,House,379000,2.0,290.0,173.0,2.0,Just renovated,0,1,1,62.0,1,20.0,0,0,Liège,House,Wallonia
Huy,4540,Villa,379000,3.0,200.0,1800.0,4.0,Not mentioned,0,0,1,1300.0,1,44.0,0,0,Liège,House,Wallonia
Liège,4432,Villa,380000,2.0,210.0,1100.0,4.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Liège,House,Wallonia
Gent,9000,House,380000,3.0,128.0,128.0,2.0,As new,0,1,1,80.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Tielt,8740,House,386700,4.0,238.0,235.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Charleroi,7180,House,390000,4.0,179.0,1225.0,3.0,Not mentioned,0,1,1,800.0,1,30.0,0,0,Hainaut,House,Wallonia
Mechelen,2830,House,395000,4.0,151.0,110.0,2.0,Not mentioned,0,1,0,0.0,0,0.0,0,0,Antwerp,House,Flanders
Liège,4030,House,395000,4.0,310.0,2455.0,2.0,Good,0,1,1,2040.0,0,0.0,0,0,Liège,House,Wallonia
Brugge,8380,House,395000,4.0,510.0,293.0,2.0,To be done up,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Oudenaarde,9660,House,395000,3.0,120.0,394.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Brugge,8370,House,399000,4.0,111.0,,2.0,Good,0,1,0,0.0,0,0.0,1,0,West-Vlaanderen,House,Flanders
Eeklo,9980,House,399000,3.0,150.0,268.0,3.0,As new,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Kortrijk,8552,House,415000,3.0,172.0,453.0,3.0,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Mechelen,2830,House,417000,3.0,170.0,128.0,2.0,As new,0,1,1,58.0,0,0.0,0,0,Antwerp,House,Flanders
Halle-Vilvoorde,1600,House,419000,3.0,135.0,,3.0,As new,0,1,1,65.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Antwerp,2630,House,419500,4.0,189.0,117.0,2.0,Good,1,1,0,0.0,1,25.0,0,0,Antwerp,House,Flanders
Brugge,8020,House,420000,3.0,170.0,288.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8520,House,420300,3.0,179.0,183.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Tielt,8740,House,423000,4.0,231.0,321.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Antwerp,2000,House,425000,3.0,160.0,97.0,2.0,Good,0,0,0,0.0,1,25.0,0,0,Antwerp,House,Flanders
Ath,7880,House,425000,4.0,201.0,2972.0,4.0,Good,0,0,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Mechelen,2890,House,429000,2.0,263.0,263.0,2.0,As new,0,0,1,173.0,0,0.0,0,0,Antwerp,House,Flanders
Gent,9050,House,429000,3.0,147.0,121.0,2.0,Just renovated,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Brussels,1120,House,430000,4.0,160.0,277.0,2.0,Good,0,0,1,180.0,1,14.0,0,0,Brussels,House,Brussels
Tielt,8750,House,431400,3.0,224.0,297.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8501,House,431500,3.0,173.0,396.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Tielt,8740,House,432700,4.0,226.0,428.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Tielt,8750,House,432800,4.0,240.0,300.0,,Good,0,0,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Gent,9810,House,435000,3.0,255.0,1080.0,4.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
