,Real values,Predicted values
6942,395000,498237.9150346627
5023,1050000,861509.2609068119
11769,294742,275513.5890057001
7008,240000,164842.67163968016
8051,325000,397838.9154706316
3077,329900,362138.9534817684
3831,439000,378205.41657947045
11333,245000,432667.6349381907
4865,465000,371122.1231626035
2320,389000,381815.4111800307
4061,355000,327171.84778391087
2905,747000,594023.7191060386
9564,375000,312033.8416694645
2853,245000,420893.5043655884
13036,460000,359279.86210574565
6855,470000,712178.259129716
11307,315000,340985.4037049288
12531,249000,292282.61320584675
7904,649000,438251.08969533566
4286,289000,264586.94272405084
2907,239000,276944.7264176738
155,399000,666841.4255969983
9373,529000,724003.2045847662
5746,99000,116399.15039481781
118,428000,388647.45550749294
5827,249000,250850.08581060873
7476,474000,372741.64843261574
362,995000,918314.0359532594
10399,545000,469306.95770100114
8730,625000,692216.0833081261
4860,447000,480564.44683165115
4876,525000,598771.6291459333
2945,435000,380082.15009207174
1799,269000,463074.544368019
7129,215000,229526.76863935258
142,795000,658054.4919785681
3678,249000,238021.46900014597
3390,375000,345557.7077189554
910,489900,442110.9536484383
1337,218000,239402.73582746048
3541,465000,503756.90525009955
8109,456700,320421.446720453
12835,229990,404649.40360890736
1319,975000,959530.299885754
1068,595000,571175.0998417435
10877,399000,467466.49720083136
4642,495000,529137.8710530039
4580,115000,144521.53744444984
11957,235000,231465.1399099536
2670,599000,477401.153251501
2986,368000,447743.11120203836
4889,598000,647008.0706746068
8884,230000,387176.0904330447
11160,247000,399720.1607146823
7505,1250000,795207.3736971449
12476,395000,423497.3094063238
6410,419500,575663.2894743929
13300,225000,96331.58837086201
4114,550000,549214.1443069212
12457,275000,458005.2425322718
7924,369000,540208.6177742931
2040,319000,302507.89028081985
13293,300000,316864.56600864045
6864,495000,604530.541142795
6056,749000,1014036.4709083885
8954,399000,357781.10020039085
4204,419000,265361.8057522458
9778,469000,551837.5117054449
10380,345000,431398.71702894155
6481,725000,976421.6714453207
4703,495000,695784.4969177685
2596,225000,257507.88425112123
655,290000,234557.79374094147
8438,260000,245632.1227091987
4101,498000,368914.31937920605
3127,699000,632316.1116409783
11010,345000,305924.14889036416
3616,465000,582099.8469642168
7719,485000,500916.06805286586
11390,615000,676446.2294857556
10912,665000,640056.6904749607
5929,149900,63181.68520854565
