refnis,localité,année,période,nombre transactions - maison,prix médian(€)-maison,prix premier quartile(€)-maison,prix troisième quartile(€)-maison,nombre transactions-appartement,prix médian(€)-appartement,prix premier quartile(€)-appartement,prix troisième quartile(€)-appartement,,,,0
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q1,363,250000,200000,313000,190,170000,140000,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q2,411,247500,200000,320000,187,174750,140000,211750,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q3,396,265000,201000,335000,162,170000,142000,202000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2013,Q4,434,248000,199000,315000,198,179500,150000,215000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q1,331,250000,185000,318000,171,175500,145000,209671,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q2,451,250750,200000,310000,185,179000,148000,203500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q3,392,250000,195000,319000,178,170000,143750,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2014,Q4,823,255500,186500,323750,346,175000,145000,205000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q1,233,243500,164500,322500,126,180000,147000,225000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q2,414,266750,196500,328500,184,175000,149000,210000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q3,428,270000,197500,330000,161,178268,151478,220000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2015,Q4,515,265000,205000,335000,209,180000,143500,220000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q1,399,280000,215000,350000,162,180000,147000,220000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q2,480,269000,212500,337500,214,180000,149000,237000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q3,454,300000,225000,385000,163,193750,151250,232500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2016,Q4,509,290000,205000,360000,244,180000,150000,227000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q1,405,265000,200000,335000,189,185000,150000,222500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q2,522,280000,215000,350000,229,189000,153675,230000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q3,438,289000,210000,360000,158,186000,152000,222500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2017,Q4,553,275750,210000,350000,221,186000,162000,234000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2018,Q1,473,285000,225000,355000,204,181750,155000,225000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2018,Q2,456,279000,219000,355000,228,180000,147000,224850,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2018,Q3,518,300000,220000,370000,235,198500,169000,232000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2018,Q4,589,275000,209000,360000,234,190000,149294,236000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2019,Q1,483,288000,215000,365000,245,193750,165000,235000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2019,Q2,543,283000,215000,360000,279,195000,161000,240000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2019,Q3,518,300000,232500,380000,251,199000,165000,238500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2019,Q4,929,295000,230000,373500,448,200000,170000,236680,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2020,Q1,275,315000,204250,419500,175,219000,160000,259000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2020,Q2,434,323000,229000,395000,228,207000,166800,262500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2020,Q3,539,300000,225000,395000,240,215000,174000,252500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2020,Q4,747,320000,239000,400000,406,220000,180000,259000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2021,Q1,539,310000,225000,418000,318,220000,184000,270000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2021,Q2,634,315000,230000,410000,358,220000,177000,259000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2021,Q3,625,336500,249500,437250,331,220000,184000,269500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2021,Q4,469,315000,235000,435000,304,230781,182000,277000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2022,Q1,709,355000,265000,470000,386,227250,189000,265000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2022,Q2,591,350000,263000,470000,331,228000,186900,280000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2022,Q3,581,370000,275000,475000,348,240000,195000,286000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2022,Q4,620,349000,265000,441500,301,235000,187400,288000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2023,Q1,435,360000,269000,459500,270,241500,192500,284000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2023,Q2,466,370000,280000,481000,315,240000,197750,285500,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2023,Q3,474,363000,280000,475000,299,242500,199000,290000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2023,Q4,568,355000,269500,468500,392,234050,195000,280000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2024,Q1,384,375000,270000,505000,290,238000,200000,289000,,,,3
13000,ARRONDISSEMENT DE TURNHOUT,2024,Q2,486,385000,285000,487000,320,248500,200000,295871,,,,3
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2010,Q1,32,711500,490000,887500,1781,160000,125000,228150,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2010,Q2,32,660000,522500,872500,2048,160000,122000,218000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2010,Q3,27,975000,660000,1280000,1899,165000,125000,225000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2010,Q4,33,892500,612500,1125000,1770,165000,125000,230000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2011,Q1,24,927500,680000,1175000,2014,167850,127000,230000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2011,Q2,26,997500,690000,1200000,2265,165000,125000,225000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2011,Q3,41,980000,750000,1350000,2109,170000,128630,245000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2011,Q4,33,900000,740000,1100000,1889,170000,129000,235000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2012,Q1,23,800000,520000,1100000,1882,172000,130000,241000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2012,Q2,27,865950,580000,1150000,2230,172500,130000,245000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2012,Q3,26,948125,670000,1225000,2124,175000,135000,250000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2012,Q4,36,760000,527500,950000,2071,175000,132800,250000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2013,Q1,29,600000,471000,1030000,1845,179000,133350,250000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2013,Q2,44,702500,511250,881500,2098,178000,135000,250000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2013,Q3,38,762500,525000,1100000,1956,180000,140000,255000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2013,Q4,36,740000,550000,1200000,1730,178392,135000,252000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2014,Q1,29,875000,580000,1300000,1833,177250,130000,247000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2014,Q2,42,1050000,726000,1550000,2059,177000,135000,250000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2014,Q3,34,817500,583000,1600000,1944,175000,135000,248000,,,,4
